# 워크북 채점 루브릭. 열은 탭으로 구분한다.
# kind: TEST(요구사항 ID로 시작하는 테스트가 통과) / SOURCE(패턴 포함) / SOURCE_ABSENT(패턴 없음)
# id	level	points	kind	target	description
L1-01	1	2	TEST		StoredValue: version이 1 미만이면 IllegalArgumentException
L1-02	1	2	TEST		StoredValue.isExpired: 만료 전 / 만료 시각 정각 / 만료 후
L1-03	1	2	TEST		StoredValue.remainingTtlMillis: 무기한 null, 만료 후 0
L1-04	1	2	TEST		CommandParser: PUT/GET/DEL/KEYS 정상 파싱(대소문자 무시, TTL 선택)
L1-05	1	2	TEST		CommandParser: 잘못된 입력은 Result.failure로 돌아온다(예외를 던지지 않는다)
L1-06	1	2	TEST		InMemoryStore.put: version이 키별로 1부터 증가하고 size에 반영된다
L1-07	1	3	TEST		InMemoryStore: TTL이 지난 키는 get에서 null이고 내부에서도 제거된다(가짜 Clock 사용)
L1-08	1	1	TEST		InMemoryStore.delete: 있으면 true, 없거나 만료면 false
L1-09	1	2	TEST		InMemoryStore.keys/snapshot: 만료 제외 + 사전순
L1-10	1	3	TEST		InMemoryStore.execute: 네 가지 Command를 모두 올바른 CommandResult로 매핑
L1-11	1	2	TEST		toStats: totalKeys/totalValueLength/keysByNamespace 집계
L1-12	1	1	TEST		toStats: hottestKey는 version 최대, 동률이면 사전순 앞선 키
L1-S1	1	2	SOURCE	src/main/kotlin/com/kotlin/workbook/answer/level1/InMemoryStore.kt::clock: Clock	InMemoryStore가 Clock을 주입받아 시간에 의존하지 않는다
L1-S2	1	2	SOURCE_BOTH	src/main/kotlin/com/kotlin/workbook/answer/level1/StoreStats.kt::(groupBy|sumOf|associate)::for \(	toStats를 for 루프 없이 컬렉션 연산(groupBy/sumOf 등)으로 구현했다
L1-S3	1	2	SOURCE_BOTH	src/test/kotlin/com/kotlin/workbook/answer/level1/Level1Test.kt::\.advance\(::Thread\.sleep	시간 의존 테스트를 가짜 시계로 밀어서 검증했다(Thread.sleep 금지)
L2-01	2	1	TEST		value class: 빈 문자열 NodeId/Key는 IllegalArgumentException
L2-02	2	1	TEST		Key: namespace 계산과 compareTo 기반 정렬
L2-03	2	2	TEST		Versioned: compareTo는 version만 비교, map은 version 유지
L2-04	2	1	TEST		Versioned: 값과 version이 같으면 동등하고 해시도 같다
L2-05	2	1	TEST		latest(): 여러 복제본 중 최신 version 선택, 비어 있으면 null
L2-06	2	2	TEST		CodecRegistry: reified encode/decode 왕복(String/Int/Long/Boolean)
L2-07	2	1	TEST		CodecRegistry: 미등록 타입은 IllegalStateException
L2-08	2	1	TEST		KeyPredicate: and/or 중위 함수와 not 연산자가 트리를 만든다
L2-09	2	2	TEST		KeyPredicate.matches: 중첩 조건(And/Or/Not/MinVersion) 평가
L2-10	2	2	TEST		query DSL: 같은 블록의 조건들이 And로 묶이고 limit이 반영된다
L2-11	2	2	TEST		query DSL: any/all 중첩 블록이 Or/And로 묶인다
L2-12	2	2	TEST		TypedStore 연산자: get/set/contains/plusAssign
L2-13	2	1	TEST		TypedStore: for ((key, stored) in store) 순회가 사전순으로 동작
L2-14	2	1	TEST		TypedStore.scan: 질의 결과와 limit 적용
L2-15	2	2	TEST		TypedStore.scan: 지연 평가 증명(first() 호출로 전부 평가되지 않는다)
L2-16	2	1	TEST		observable 위임: readTimeoutMillis 변경이 changeLog에 남는다
L2-17	2	1	TEST		lazy 위임: summary는 여러 번 읽어도 한 번만 계산된다
L2-18	2	1	TEST		CountingDelegate: 읽기/쓰기 횟수를 정확히 센다
L2-S1	2	2	SOURCE_BOTH	src/main/kotlin/com/kotlin/workbook/answer/level2/KeyPredicate.kt::when \(::else ->	matches를 else 가지 없는 when으로 구현했다(sealed 완전성 활용)
L2-S2	2	2	SOURCE_BOTH	src/main/kotlin/com/kotlin/workbook/answer/level2/TypedStore.kt::asSequence\(\)|sequence \{::\.toList\(\)	scan이 중간에 List로 모으지 않고 Sequence를 유지한다
L2-S3	2	1	SOURCE_BOTH	src/test/kotlin/com/kotlin/workbook/answer/level2/Level2Test.kt::scannedEntryCount::Thread\.sleep	지연 평가를 계측 카운터로 실제로 관찰했다(Thread.sleep 금지)
L3-01	3	2	TEST		StoreNode: Write/Read/snapshot 기본 동작
L3-02	3	2	TEST		StoreNode: 더 낮거나 같은 version은 무시하고 applied=false
L3-03	3	2	TEST		StoreNode.changes: 실제로 반영된 변경만 흘러나온다
L3-04	3	2	TEST		SimulatedNetwork: 왕복 지연이 가상 시간(currentTime)에 그대로 나타난다
